"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000162592.10",12.3945358891321,0.167653344386333,0.486502488982871,0.344609427871263,0.730388017083114,0.866061550725926
"ENSG00000235169.11",8.86933633113875,-0.302561906643815,0.682900464438192,-0.443054181977641,0.65772654475031,0.82361173269749
"ENSG00000130764.10",1016.39604048545,-0.174356853843642,0.123555213611355,-1.41116549231248,0.158195822519507,0.381143320214761
"ENSG00000266075.2",6.62258231172209,0.750324318991051,0.654436861366622,1.14651903534925,0.251580455603092,NA
"ENSG00000272153.1",21.5681429084903,0.564843879482053,0.380689790559968,1.48373792386501,0.137878461149392,0.351765278679029
"ENSG00000116198.14",806.702723118695,-0.0237359037623085,0.109346207405857,-0.217071120484396,0.828152919879634,0.92068703125792
"ENSG00000169598.17",171.991255536601,0.13675199049209,0.161886051561108,0.844742268857365,0.39825475391965,0.637386826084118
"ENSG00000198912.12",508.724670438116,-0.152424889611982,0.111288537687708,-1.36963691660419,0.170800269726885,0.399120769258723
"ENSG00000236423.6",12.8795067988952,0.844527390318881,0.487721605262012,1.73157674625709,0.083348949454981,0.260463853508225
"ENSG00000196581.11",47.9018395067114,-0.106323650681214,0.265032746245063,-0.401171750236863,0.688293677950677,0.843111617262074
"ENSG00000131697.18",283.85370216066,-0.321256728766968,0.240982601621867,-1.33311171264995,0.182495146242494,0.414077033721022
"ENSG00000069424.15",178.387702617666,0.0607334588978616,0.212731752014044,0.285493154279349,0.775266348369068,0.891255946751998
"ENSG00000116254.18",179.914713859499,-1.15946830641007,0.231356421790264,-5.01161064576451,5.39763327289447e-07,1.78254409460662e-05
"ENSG00000116251.11",1372.12962227981,-0.00409047374205604,0.123482503623533,-0.0331259378618275,0.973574158674504,0.989860897598214
"ENSG00000226944.1",13.0662319182463,-0.221629569870563,0.513993749996293,-0.431191176686801,0.666329368946775,0.828824682937247
"ENSG00000158286.13",223.479845541506,0.23641080558743,0.1845932324875,1.28071220380974,0.200294771646456,0.438155670238745
"ENSG00000116237.16",2066.65677722145,-0.448198692135202,0.0994809348730429,-4.50537274008524,6.62565371981364e-06,0.000165871514588585
"ENSG00000225077.3",8.396239283183,-0.207417381696909,0.55400180846474,-0.374398383773707,0.70810794521921,0.853652071419388
"ENSG00000158292.7",293.383975118055,-0.335706901246199,0.222994394575557,-1.50544995485279,0.132208434092321,0.343466175243318
"ENSG00000097021.20",1267.70870699152,-0.754122702774349,0.21241632524172,-3.5502106625571,0.000384922997901121,0.00533446171129727
"ENSG00000271746.1",6.64556076991377,0.753617707630547,0.681950482571664,1.10509153800819,0.26911992687903,NA
"ENSG00000215788.11",169.556169551949,0.225092468771833,0.236781563336678,0.950633426014572,0.341790494226796,0.590146143137525
"ENSG00000171680.23",415.886439058357,0.178698738425081,0.419963478134908,0.425510187739888,0.670464796508676,0.831185443252051
"ENSG00000162408.11",1416.61797262579,-0.103926299589455,0.101371221120326,-1.0252051661299,0.305266391146991,0.555224918024516
"ENSG00000253022.1",3.08229553000601,1.11548743857087,1.04163807407467,1.07089733596941,0.28421559385998,NA
"ENSG00000229519.2",18.589861619312,0.860226830974007,0.409427635573978,2.10104730660902,0.0356368137579575,0.153028224730382
"ENSG00000173662.21",5.59303366716376,-0.246463622253331,0.733934312398191,-0.335811554371931,0.737012976531665,NA
"ENSG00000204859.13",263.628096368515,0.0303456634900613,0.228828160562378,0.132613326154799,0.894499192763688,0.956249256242951
"ENSG00000162413.16",251.304674837904,0.0437009653695007,0.216295522977519,0.202042856772596,0.839883220141608,0.927062799710209
"ENSG00000116273.6",860.429892118108,-0.363269830351072,0.106959532453316,-3.39632963999376,0.000682960561908083,0.00843893338529167
"ENSG00000041988.15",154.976495526113,-0.117271109918067,0.259704755191865,-0.451555497439505,0.651589235946834,0.820402321411157
"ENSG00000007923.16",1050.0331611936,-0.0368201093697199,0.0996784239902804,-0.369388959975032,0.711837825709545,0.85534496278638
"ENSG00000237436.1",8.91454275579514,0.158533477651396,0.551813929722109,0.287295171637354,0.773886319378461,0.890531973334393
