"","SRR14862052ReadsPerGene.out.tab","SRR14862053ReadsPerGene.out.tab","SRR14862054ReadsPerGene.out.tab","SRR14862055ReadsPerGene.out.tab","SRR14862056ReadsPerGene.out.tab","SRR14862057ReadsPerGene.out.tab","SRR14862058ReadsPerGene.out.tab","SRR14862059ReadsPerGene.out.tab","SRR14862060ReadsPerGene.out.tab"
"ENSG00000232596.3",0,1,0,0,0,0,0,0,0
"ENSG00000196581.11",33,72,45,39,60,40,46,66,36
"ENSG00000287586.1",0,0,1,1,0,0,0,1,1
"ENSG00000284739.1",0,0,0,0,0,0,0,0,0
"ENSG00000284674.1",0,0,0,0,0,0,0,0,0
"ENSG00000231510.1",0,0,0,0,0,0,0,0,0
"ENSG00000284616.1",0,0,0,0,0,0,0,0,0
"ENSG00000284692.2",0,0,0,0,0,0,0,0,0
"ENSG00000284666.1",0,0,0,0,0,0,0,0,0
"ENSG00000260972.1",0,0,0,0,0,0,0,0,0
"ENSG00000283356.1",0,0,0,0,0,0,0,0,0
"ENSG00000236948.2",0,0,0,0,1,0,0,0,0
"ENSG00000264341.1",0,0,0,0,0,0,0,0,0
"ENSG00000264101.1",0,0,1,0,0,0,0,0,0
"ENSG00000131697.18",273,269,386,390,162,194,331,285,301
"ENSG00000069424.15",165,172,264,160,151,140,182,213,186
"ENSG00000116254.18",250,192,143,250,154,78,204,212,131
"ENSG00000285629.1",1,0,0,0,0,0,0,0,0
"ENSG00000116251.11",1107,1453,1394,1185,1788,1468,1443,1453,1244
"ENSG00000226944.1",10,10,17,11,15,7,24,8,18
"ENSG00000158286.13",163,238,339,252,206,217,198,198,244
"ENSG00000116237.16",2036,1993,2082,2238,2138,1774,2706,2055,1788
"ENSG00000225077.3",13,3,12,11,5,8,8,5,11
"ENSG00000173673.8",0,0,0,2,1,0,0,0,0
"ENSG00000158292.7",275,276,386,336,220,183,377,329,297
"ENSG00000097021.20",1445,1229,1378,1514,939,673,1809,1424,1086
